Start,End,Well,Average_m
2026-09-14 00:00:00,2026-09-15 00:00:00,OW407,11.666
2026-09-14 00:00:00,2026-09-15 00:00:00,OW404,24.034
2026-09-14 00:00:00,2026-09-15 00:00:00,OW403,38.628
2026-09-14 00:00:00,2026-09-15 00:00:00,OW409,13.987
2026-09-14 00:00:00,2026-09-15 00:00:00,OW411,7.486
2026-09-14 00:00:00,2026-09-15 00:00:00,OW410,4.81
2026-09-14 00:00:00,2026-09-15 00:00:00,OW442,21.328
2026-09-14 00:00:00,2026-09-15 00:00:00,OW413,86.238
2026-09-14 00:00:00,2026-09-15 00:00:00,OW467,11.054
2026-09-14 00:00:00,2026-09-15 00:00:00,OW506,10.38
2026-09-14 00:00:00,2026-09-15 00:00:00,OW512,2.069
2026-09-14 00:00:00,2026-09-15 00:00:00,OW510,4.087
2026-09-14 00:00:00,2026-09-15 00:00:00,OW172,15.296
2026-09-14 00:00:00,2026-09-15 00:00:00,OW154,NA
2026-09-14 00:00:00,2026-09-15 00:00:00,OW115,6.499
2026-09-14 00:00:00,2026-09-15 00:00:00,OW117,NA
2026-09-14 00:00:00,2026-09-15 00:00:00,OW180,10.765
2026-09-14 00:00:00,2026-09-15 00:00:00,OW236,24.814
2026-09-14 00:00:00,2026-09-15 00:00:00,OW262,57.532
2026-09-14 00:00:00,2026-09-15 00:00:00,OW282,8.439
2026-09-15 00:00:00,2026-09-16 00:00:00,OW407,11.656
2026-09-15 00:00:00,2026-09-16 00:00:00,OW404,24.036
2026-09-15 00:00:00,2026-09-16 00:00:00,OW403,38.624
2026-09-15 00:00:00,2026-09-16 00:00:00,OW409,13.981
2026-09-15 00:00:00,2026-09-16 00:00:00,OW411,7.504
2026-09-15 00:00:00,2026-09-16 00:00:00,OW410,4.812
2026-09-15 00:00:00,2026-09-16 00:00:00,OW442,21.332
2026-09-15 00:00:00,2026-09-16 00:00:00,OW413,86.234
2026-09-15 00:00:00,2026-09-16 00:00:00,OW467,11.042
2026-09-15 00:00:00,2026-09-16 00:00:00,OW506,10.369
2026-09-15 00:00:00,2026-09-16 00:00:00,OW512,2.064
2026-09-15 00:00:00,2026-09-16 00:00:00,OW510,4.024
2026-09-15 00:00:00,2026-09-16 00:00:00,OW172,15.478
2026-09-15 00:00:00,2026-09-16 00:00:00,OW154,NA
2026-09-15 00:00:00,2026-09-16 00:00:00,OW115,6.507
2026-09-15 00:00:00,2026-09-16 00:00:00,OW117,NA
2026-09-15 00:00:00,2026-09-16 00:00:00,OW180,10.692
2026-09-15 00:00:00,2026-09-16 00:00:00,OW236,24.815
2026-09-15 00:00:00,2026-09-16 00:00:00,OW262,57.532
2026-09-15 00:00:00,2026-09-16 00:00:00,OW282,8.434
2026-09-16 00:00:00,2026-09-17 00:00:00,OW407,11.648
2026-09-16 00:00:00,2026-09-17 00:00:00,OW404,24.038
2026-09-16 00:00:00,2026-09-17 00:00:00,OW403,38.63
2026-09-16 00:00:00,2026-09-17 00:00:00,OW409,13.976
2026-09-16 00:00:00,2026-09-17 00:00:00,OW411,7.526
2026-09-16 00:00:00,2026-09-17 00:00:00,OW410,4.815
2026-09-16 00:00:00,2026-09-17 00:00:00,OW442,21.334
2026-09-16 00:00:00,2026-09-17 00:00:00,OW413,86.253
2026-09-16 00:00:00,2026-09-17 00:00:00,OW467,11.06
2026-09-16 00:00:00,2026-09-17 00:00:00,OW506,10.359
2026-09-16 00:00:00,2026-09-17 00:00:00,OW512,2.061
2026-09-16 00:00:00,2026-09-17 00:00:00,OW510,3.967
2026-09-16 00:00:00,2026-09-17 00:00:00,OW172,15.555
2026-09-16 00:00:00,2026-09-17 00:00:00,OW154,NA
2026-09-16 00:00:00,2026-09-17 00:00:00,OW115,6.517
2026-09-16 00:00:00,2026-09-17 00:00:00,OW117,NA
2026-09-16 00:00:00,2026-09-17 00:00:00,OW180,10.66
2026-09-16 00:00:00,2026-09-17 00:00:00,OW236,24.843
2026-09-16 00:00:00,2026-09-17 00:00:00,OW262,57.561
2026-09-16 00:00:00,2026-09-17 00:00:00,OW282,8.435
2026-09-17 00:00:00,2026-09-18 00:00:00,OW407,11.641
2026-09-17 00:00:00,2026-09-18 00:00:00,OW404,24.037
2026-09-17 00:00:00,2026-09-18 00:00:00,OW403,38.621
2026-09-17 00:00:00,2026-09-18 00:00:00,OW409,13.97
2026-09-17 00:00:00,2026-09-18 00:00:00,OW411,7.533
2026-09-17 00:00:00,2026-09-18 00:00:00,OW410,4.818
2026-09-17 00:00:00,2026-09-18 00:00:00,OW442,21.301
2026-09-17 00:00:00,2026-09-18 00:00:00,OW413,86.214
2026-09-17 00:00:00,2026-09-18 00:00:00,OW467,11.036
2026-09-17 00:00:00,2026-09-18 00:00:00,OW506,10.349
2026-09-17 00:00:00,2026-09-18 00:00:00,OW512,2.05
2026-09-17 00:00:00,2026-09-18 00:00:00,OW510,3.905
2026-09-17 00:00:00,2026-09-18 00:00:00,OW172,15.546
2026-09-17 00:00:00,2026-09-18 00:00:00,OW154,NA
2026-09-17 00:00:00,2026-09-18 00:00:00,OW115,6.528
2026-09-17 00:00:00,2026-09-18 00:00:00,OW117,NA
2026-09-17 00:00:00,2026-09-18 00:00:00,OW180,10.658
2026-09-17 00:00:00,2026-09-18 00:00:00,OW236,24.793
2026-09-17 00:00:00,2026-09-18 00:00:00,OW262,57.515
2026-09-17 00:00:00,2026-09-18 00:00:00,OW282,8.434
2026-09-18 00:00:00,2026-09-19 00:00:00,OW407,11.642
2026-09-18 00:00:00,2026-09-19 00:00:00,OW404,24.04
2026-09-18 00:00:00,2026-09-19 00:00:00,OW403,38.624
2026-09-18 00:00:00,2026-09-19 00:00:00,OW409,13.965
2026-09-18 00:00:00,2026-09-19 00:00:00,OW411,7.527
2026-09-18 00:00:00,2026-09-19 00:00:00,OW410,4.819
2026-09-18 00:00:00,2026-09-19 00:00:00,OW442,21.281
2026-09-18 00:00:00,2026-09-19 00:00:00,OW413,86.218
2026-09-18 00:00:00,2026-09-19 00:00:00,OW467,11.02
2026-09-18 00:00:00,2026-09-19 00:00:00,OW506,10.346
2026-09-18 00:00:00,2026-09-19 00:00:00,OW512,2.041
2026-09-18 00:00:00,2026-09-19 00:00:00,OW510,3.845
2026-09-18 00:00:00,2026-09-19 00:00:00,OW172,15.58
2026-09-18 00:00:00,2026-09-19 00:00:00,OW154,NA
2026-09-18 00:00:00,2026-09-19 00:00:00,OW115,6.534
2026-09-18 00:00:00,2026-09-19 00:00:00,OW117,NA
2026-09-18 00:00:00,2026-09-19 00:00:00,OW180,10.673
2026-09-18 00:00:00,2026-09-19 00:00:00,OW236,24.776
2026-09-18 00:00:00,2026-09-19 00:00:00,OW262,57.5
2026-09-18 00:00:00,2026-09-19 00:00:00,OW282,8.435
2026-09-19 00:00:00,2026-09-20 00:00:00,OW407,11.644
2026-09-19 00:00:00,2026-09-20 00:00:00,OW404,24.042
2026-09-19 00:00:00,2026-09-20 00:00:00,OW403,38.631
2026-09-19 00:00:00,2026-09-20 00:00:00,OW409,13.96
2026-09-19 00:00:00,2026-09-20 00:00:00,OW411,7.535
2026-09-19 00:00:00,2026-09-20 00:00:00,OW410,4.82
2026-09-19 00:00:00,2026-09-20 00:00:00,OW442,21.288
2026-09-19 00:00:00,2026-09-20 00:00:00,OW413,86.221
2026-09-19 00:00:00,2026-09-20 00:00:00,OW467,11.022
2026-09-19 00:00:00,2026-09-20 00:00:00,OW506,10.349
2026-09-19 00:00:00,2026-09-20 00:00:00,OW512,2.033
2026-09-19 00:00:00,2026-09-20 00:00:00,OW510,3.791
2026-09-19 00:00:00,2026-09-20 00:00:00,OW172,15.667
2026-09-19 00:00:00,2026-09-20 00:00:00,OW154,NA
2026-09-19 00:00:00,2026-09-20 00:00:00,OW115,6.54
2026-09-19 00:00:00,2026-09-20 00:00:00,OW117,NA
2026-09-19 00:00:00,2026-09-20 00:00:00,OW180,10.629
2026-09-19 00:00:00,2026-09-20 00:00:00,OW236,24.778
2026-09-19 00:00:00,2026-09-20 00:00:00,OW262,57.507
2026-09-19 00:00:00,2026-09-20 00:00:00,OW282,8.439
2026-09-20 00:00:00,2026-09-21 00:00:00,OW407,11.652
2026-09-20 00:00:00,2026-09-21 00:00:00,OW404,24.044
2026-09-20 00:00:00,2026-09-21 00:00:00,OW403,38.628
2026-09-20 00:00:00,2026-09-21 00:00:00,OW409,13.955
2026-09-20 00:00:00,2026-09-21 00:00:00,OW411,7.536
2026-09-20 00:00:00,2026-09-21 00:00:00,OW410,4.821
2026-09-20 00:00:00,2026-09-21 00:00:00,OW442,21.285
2026-09-20 00:00:00,2026-09-21 00:00:00,OW413,86.217
2026-09-20 00:00:00,2026-09-21 00:00:00,OW467,11.011
2026-09-20 00:00:00,2026-09-21 00:00:00,OW506,10.357
2026-09-20 00:00:00,2026-09-21 00:00:00,OW512,2.023
2026-09-20 00:00:00,2026-09-21 00:00:00,OW510,3.744
2026-09-20 00:00:00,2026-09-21 00:00:00,OW172,15.736
2026-09-20 00:00:00,2026-09-21 00:00:00,OW154,NA
2026-09-20 00:00:00,2026-09-21 00:00:00,OW115,6.545
2026-09-20 00:00:00,2026-09-21 00:00:00,OW117,NA
2026-09-20 00:00:00,2026-09-21 00:00:00,OW180,10.612
2026-09-20 00:00:00,2026-09-21 00:00:00,OW236,NA
2026-09-20 00:00:00,2026-09-21 00:00:00,OW262,57.496
2026-09-20 00:00:00,2026-09-21 00:00:00,OW282,8.442
2026-09-21 00:00:00,2026-09-22 00:00:00,OW407,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW404,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW403,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW409,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW411,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW410,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW442,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW413,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW467,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW506,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW512,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW510,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW172,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW154,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW115,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW117,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW180,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW236,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW262,NA
2026-09-21 00:00:00,2026-09-22 00:00:00,OW282,NA
2026-09-14 00:00:00,2026-09-15 00:00:00,OW311,NA
2026-09-14 00:00:00,2026-09-15 00:00:00,OW264,NA
2026-09-14 00:00:00,2026-09-15 00:00:00,OW332,NA
2026-09-14 00:00:00,2026-09-15 00:00:00,OW356,8.079
2026-09-14 00:00:00,2026-09-15 00:00:00,OW401,5.609
2026-09-14 00:00:00,2026-09-15 00:00:00,OW387,13.445
2026-09-14 00:00:00,2026-09-15 00:00:00,OW402,12.951
2026-09-14 00:00:00,2026-09-15 00:00:00,OW384,82.84
2026-09-14 00:00:00,2026-09-15 00:00:00,OW405,18.147
2026-09-14 00:00:00,2026-09-15 00:00:00,OW412,10.435
2026-09-15 00:00:00,2026-09-16 00:00:00,OW311,NA
2026-09-15 00:00:00,2026-09-16 00:00:00,OW264,NA
2026-09-15 00:00:00,2026-09-16 00:00:00,OW332,NA
2026-09-15 00:00:00,2026-09-16 00:00:00,OW356,8.08
2026-09-15 00:00:00,2026-09-16 00:00:00,OW401,5.552
2026-09-15 00:00:00,2026-09-16 00:00:00,OW387,13.481
2026-09-15 00:00:00,2026-09-16 00:00:00,OW402,12.96
2026-09-15 00:00:00,2026-09-16 00:00:00,OW384,82.825
2026-09-15 00:00:00,2026-09-16 00:00:00,OW405,18.146
2026-09-15 00:00:00,2026-09-16 00:00:00,OW412,10.443
2026-09-16 00:00:00,2026-09-17 00:00:00,OW311,NA
2026-09-16 00:00:00,2026-09-17 00:00:00,OW264,NA
2026-09-16 00:00:00,2026-09-17 00:00:00,OW332,NA
2026-09-16 00:00:00,2026-09-17 00:00:00,OW356,8.08
2026-09-16 00:00:00,2026-09-17 00:00:00,OW401,5.504
2026-09-16 00:00:00,2026-09-17 00:00:00,OW387,13.526
2026-09-16 00:00:00,2026-09-17 00:00:00,OW402,12.986
2026-09-16 00:00:00,2026-09-17 00:00:00,OW384,82.829
2026-09-16 00:00:00,2026-09-17 00:00:00,OW405,18.149
2026-09-16 00:00:00,2026-09-17 00:00:00,OW412,10.452
2026-09-17 00:00:00,2026-09-18 00:00:00,OW311,NA
2026-09-17 00:00:00,2026-09-18 00:00:00,OW264,NA
2026-09-17 00:00:00,2026-09-18 00:00:00,OW332,NA
2026-09-17 00:00:00,2026-09-18 00:00:00,OW356,8.081
2026-09-17 00:00:00,2026-09-18 00:00:00,OW401,5.438
2026-09-17 00:00:00,2026-09-18 00:00:00,OW387,13.572
2026-09-17 00:00:00,2026-09-18 00:00:00,OW402,12.98
